Provincia,Departamento,Cantidad de CC con cap >100
Buenos Aires,Avellaneda,20
Buenos Aires,La Plata,8
Buenos Aires,Lomas de Zamora,3
Buenos Aires,Almirante Brown,2
Buenos Aires,General Pueyrredón,2
Buenos Aires,Bragado,1
Buenos Aires,Mercedes,1
Buenos Aires,Olavarría,1
Buenos Aires,Tres de Febrero,1
Chaco,San Fernando,2
Chaco,Mayor Luis J. Fontana,1
Chaco,O'Higgins,1
Chubut,Biedma,1
Chubut,Rawson,1
Ciudad de Buenos Aires,Ciudad de Buenos Aires,78
Corrientes,Capital,1
Córdoba,Capital,5
Córdoba,Punilla,2
Córdoba,San Justo,2
Córdoba,Marcos Juárez,2
Córdoba,Ischilín,1
Córdoba,Colón,1
Córdoba,Juárez Celman,1
Córdoba,Minas,1
Córdoba,Río Cuarto,1
Córdoba,Tercero Arriba,1
Entre Ríos,Paraná,3
Entre Ríos,Concordia,1
Jujuy,Dr. Manuel Belgrano,4
Jujuy,Tilcara,1
Mendoza,Guaymallén,2
Mendoza,Luján de Cuyo,1
Misiones,Capital,2
Misiones,Oberá,1
Neuquén,Confluencia,4
Neuquén,Zapala,1
Río Negro,General Roca,3
Río Negro,San Antonio,1
Salta,Cafayate,1
Salta,Capital,1
San Juan,Capital,1
San Luis,Junín,1
San Luis,Juan Martín de Pueyrredón,1
Santa Fe,Rosario,6
Santa Fe,La Capital,6
Santa Fe,Castellanos,3
Santa Fe,Las Colonias,3
Santa Fe,San Cristóbal,1
Santa Fe,Caseros,1
Santa Fe,Vera,1
Santa Fe,San Lorenzo,1
Santiago del Estero,Banda,1
Santiago del Estero,Capital,1
Tierra del Fuego,Río Grande,1
Tierra del Fuego,Ushuaia,1
Tucumán,Lules,2
